Invoice_Number__c,Invoice_Plant__c,Invoice_Customer_Code__c,Invoice_Customer_Name__c,Invoice_Sales_Org__c,Invoice_Division__c,Invoice_Sales_Group__c,Invoice_Sales_Office__c,Customer_Group__c,Invoice_District__c,Invoice_City__c,Invoice_Date__c,SO_Customer_Ref__c,SO_Customer_Ref_Date__c,Sales_Order_Number__c,Quotation_Number__c,City_Code_Diag__c
9200029087,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-04,0988,2022-01-04,3000026073,2900014902,KHI
9200029088,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-04,0987,2022-01-04,3300000743,,KHI
9200029089,3300,3020000455,Chemical Centre,3000,30,Z01,1000,5,3000,Karachi,2022-01-04,CC/22/268,2022-01-04,3000026092,2900014918,KHI
9200029090,3300,3020001644,Zubair Scientific Corporation,3000,30,Z01,1000,5,3000,Karachi,2022-01-04,224/1122/360/Skin,2022-01-04,3000026090,2900014911,KHI
9200029091,3300,3020001254,Spot Diagnostics,3000,30,Z08,2000,5,2000,Mandi Bahauddin,2022-01-05,2900014846,2021-12-30,3000026018,2900014846,GRW
9200029092,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-05,0983,2021-12-27,3000025915,2900014475,KHI
9200029093,3300,3020000427,H.A Enterprises,3000,30,Z01,1000,5,3000,Karachi,2022-01-05,HA 2812210001,2021-12-28,3000025955,2900014826,KHI
9200029094,3200,3020001254,Spot Diagnostics,3000,30,Z08,2000,5,2000,Mandi Bahauddin,2022-01-05,750,2021-12-31,3000026017,,GRW
9200029095,3200,3020000468,Ahmad Medicare & X-Ray Center,3000,30,Z07,2000,10,2000,Muzaffargarh,2022-01-05,LHR-22001,2022-01-04,3000026097,,MLT
9200029096,3200,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-05,18156,2021-12-22,3000026031,,PWR
9200029097,3200,3020001254,Spot Diagnostics,3000,30,Z08,2000,5,2000,Mandi Bahauddin,2022-01-05,750,2021-12-31,3300000740,,GRW
9200029098,3200,3020000468,Ahmad Medicare & X-Ray Center,3000,30,Z07,2000,10,2000,Muzaffargarh,2022-01-05,LHR-22001,2022-01-04,3300000745,,MLT
9200029099,3200,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-05,18156,2021-12-22,3300000741,,PWR
9200029100,3200,3020001506,Sysmed & Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-05,936,2022-01-03,3000026081,2900014908,LHR
9200029101,3200,3020001556,Khurram Traders,3000,30,Z01,1000,5,3000,Karachi,2022-01-05,KT-30.12.2021-01,2021-12-30,3000026000,2900014847,KHI
9200029102,3200,3020000455,Chemical Centre,3000,30,Z01,1000,5,3000,Karachi,2022-01-05,CC/21/246,2022-01-04,3000026076,2900014687,KHI
9200029103,3200,3020001254,Spot Diagnostics,3000,30,Z08,2000,5,2000,Mandi Bahauddin,2022-01-05,2900014846,2021-12-30,3000026018,2900014846,GRW
9200029104,3200,3020001254,Spot Diagnostics,3000,30,Z08,2000,5,2000,Mandi Bahauddin,2022-01-05,LHR-21781,2021-12-28,3000026019,2900014855,GRW
9200029105,3200,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-05,CDI007,2021-12-16,3000026032,,PWR
9200029106,3200,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-05,CDI008,2021-12-18,3000026037,2900014813,PWR
9200029107,3300,3020001345,Advance Scientific,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-05,40,2021-12-13,3000025738,,GRW
9200029108,3300,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-05,CDI007,2021-12-16,3000026032,,PWR
9200029109,3300,3020001173,Royal Medical Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-05,1370,2021-05-27,3000024995,,LHR
9200029114,3300,3020001639,Lab Link Health Services,3000,30,Z03,1000,5,3000,Hyderabad,2022-01-05,LLHS-03.01.2022-01,2022-01-03,3000026057,2900014883,HYD
9200029119,3300,3020001613,SS Diagnostics,3000,30,Z04,4000,5,3000,Quetta,2022-01-05,22122022,2021-12-22,3000025855,2900014733,QTA
9200029122,3300,3020000427,H.A Enterprises,3000,30,Z01,1000,5,3000,Karachi,2022-01-05,HA 0401220002,2022-01-04,3000026088,2900014912,KHI
9200029124,3300,3020001613,SS Diagnostics,3000,30,Z04,4000,5,3000,Quetta,2022-01-06,17122021,2021-12-28,3000025937,2900014702,QTA
9200029125,3300,3020001717,Horizon Touch,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-06,HT3535/003,2022-01-04,3000026119,2900014933,RWP
9200029128,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-06,0991,2022-01-05,3000026103,2900014921,KHI
9200029131,3200,3020000166,Quaid-e-Azam Medical College,3000,30,Z05,5000,2,2000,Bahawalpur,2022-01-06,25767,2021-10-20,3000026113,2900014935,MLT
9200029132,3200,3020001648,Pak Red Crescent Teaching Hospital,3000,30,Z07,2000,6,2000,Kasur,2022-01-06,PUR/WO/0005,2021-12-29,3000026101,,LHR
9200029133,3200,3020001586,Health Linkers,3000,30,Z07,2000,5,2000,Sahiwal,2022-01-06,040122,2022-01-04,3000026102,,LHR
9200029134,3200,3020000640,Citi Lab & Research Centre,3000,30,Z07,2000,10,2000,Lahore,2022-01-06,1002,2021-09-08,3000023328,,LHR
9200029135,3200,3020000640,Citi Lab & Research Centre,3000,30,Z07,2000,10,2000,Lahore,2022-01-06,1001,2021-06-20,3000022970,,LHR
9200029136,3200,3020001622,Chemsol International,3000,30,Z07,2000,5,2000,Lahore,2022-01-06,PESSI-8649,2021-12-12,3000026079,2900014910,LHR
9200029137,3200,3020001622,Chemsol International,3000,30,Z07,2000,5,2000,Lahore,2022-01-06,NSSSH-957,2021-12-21,3000026078,2900014909,LHR
9200029138,3200,3020000629,Chemsol International,3000,30,Z07,2000,5,2000,Lahore,2022-01-06,G01210004734,2021-11-03,3000024750,,LHR
9200029139,3200,3020000962,Meezan Lab,3000,30,Z06,2000,10,2000,Faisalabad,2022-01-06,12-2021,2021-12-20,3000026115,2900014932,FSD
