External_Id__c,Account_Name__c,Active__c,Asset_Level__c,Asset_Name__c,Competitor_Asset__c,Consequence_Of_Failure__c,Delivered_Date__c,Description__c,Digital_Asset_Status__c,InActive_Date__c,Install_Date__c,IsInternal__c,Manufacture_Date__c,Price__c,Product_Code__c,Product_Description__c,Product_Family__c,Purchase_Date__c,Quantity__c,Reminder_Date__c,SAP_Account_No__c,Search__c,Serial_Number__c,Status_Reason__c,Status__c,StockKeepingUnit__c,Usage_End_Date__c,Uuid__c,Agreement_Availability_Status__c,Agreement_Date__c,Approval_Date__c,Invalid__c,Issue_Date__c,Remarks__c,Product__c
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bSA2NIAW
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX7SvIAK
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,,,,,,,,false,,,
,,false,,,false,,,,,,,false,,,,,,,,2026-04-30,,--,,,Demo,,,,,,,false,,,
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,,,,,,,,false,,,
,,true,,,false,,,Swelab Alfa plus standard,,,2022-10-12,false,,,,,,,1,,,--,118193,,Invoiced/Sold,,,,,,,false,,,
,,true,,,false,,,,,,2025-09-01,false,,,,,,,1,,,--,22-5006,,RR,,,,,,,false,,,a03Q800000bX889IAC
,,true,,,false,,,,,,,false,,,,,,,,,,--,12345,,,,,,,,,false,,,a03Q800000bX889IAC
,,true,,,false,,,Installed in Ibadat University Lab, Rawalpindi.,,,2025-10-04,false,,,,,,,1,,,--,25-47317,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7SvIAK
,,true,,,false,,,Installed in Khaleej Diagnostic Center.,,,2025-09-29,false,,,,,,,1,,,--,127708,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7yZIAS
,,true,,,false,,,Installed in Reliance Medical Center. Replaced Medonic Sampler.,,,2025-09-05,false,,,,,,,1,,,--,127706,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7yZIAS
,,true,,,false,,,Installed in Al Sarfraz Foundation Lab, Rawalpindi.,,,2025-10-03,false,,,,,,,1,,,--,,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7SvIAK
,,true,,,false,,,,,,,false,,,,,,,3,,,--,,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX8QmIAK
,,true,,,false,,,Installed in Arslan Diagnostic Lab, Dheri Wattan, Bhimber, AJK. (c/o Innovative Health Care Solutions),,,2025-10-15,false,,,,,,,1,,,--,126125,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7yYIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,127804,,Invoiced/Sold,,,,,,,false,,,a03Q800000bX7yYIAS
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8QFIA0
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8QEIA0
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,,a03Q800000bX8CpIAK
,,true,,,false,,,,,,,false,,,,,,,,2026-04-01,,--,,,RR,,,,,,,false,,,a03Q800000bX89bIAC
3002000074,,true,,,false,,,,,,,false,,,,,,,,,,--,E0672-41-300621,,RR,,,,,,,false,,,a03Q800000bX8BSIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,P078240080C,,RR,,,,,,,false,,,a03Q800000bX8C3IAK
3002000033,,true,,,false,,,,,,,false,,,,,,,,,,--,30006238,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
3002000037,,true,,,false,,,,,,,false,,,,,,,,,,--,30006243,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
3002000079,,true,,,false,,,,,,,false,,,,,,,,,,--,P072230210C,,RR,,,,,,,false,,,a03Q800000bX8C3IAK
3002000101,,true,,,false,,,,,,,false,,,,,,,,,,--,1613,,RR,,,,,,,false,,,a03Q800000bX8FFIA0
3002000075,,true,,,false,,,,,,,false,,,,,,,,,,--,IA00093322,,RR,,,,,,,false,,,a03Q800000bX888IAC
3002000023,,true,,,false,,,,,,,false,,,,,,,,,,--,30004829,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
Demo # 8300050626,,true,,,false,,,,,,,false,,,,,,,,2026-04-01,,--,TE11042147005,,RR,,,,,,,false,,,a03Q800000bX7yZIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,1746,,RR,,,,,,,false,,,a03Q800000bX8FFIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,3.24E+11,,RR,,,,,,,false,,,a03Q800000bX8L9IAK
3002000008,,false,,,false,,,,,,,false,,,,,,,,,,--,#PP13230140C,,Inactive,,,,,,,false,,,a03Q800000bX8C9IAK
3002000012,,false,,,false,,,,,,,false,,,,,,,,,,--,22-5015,,Inactive,,,,,,,false,,,a03Q800000bX889IAC
3002000102,,true,,,false,,,,,,,false,,,,,,,,,,--,1614,,RR,,,,,,,false,,,a03Q800000bX8FFIA0
,,true,,,false,,,,,,,false,,,,,,,,,,--,20-4085,,RR,,,,,,,false,,,a03Q800000bWuXmIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX7yZIAS
3002000027,,true,,,false,,,,,,,false,,,,,,,,,,--,36001565,,RR,,,,,,,false,,,a03Q800000bX8CuIAK
3002000004,,true,,,false,,,,,,,false,,,,,,,,,,--,104282,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
3002000014,,true,,,false,,,,,,,false,,,,,,,,,,--,IA00093122,,RR,,,,,,,false,,,a03Q800000bX888IAC
3002000025,,false,,,false,,,,,,,false,,,,,,,,,,--,36000907,,Inactive,,,,,,,false,,,a03Q800000bX8CuIAK
,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX8FFIA0
3002000002,,true,,,false,,,,,,,false,,,,,,,,,,--,21-5017,,RR,,,,,,,false,,,a03Q800000bX889IAC
,,true,,,false,,,,,,,false,,,,,,,,,,--,ID00152044,,RR,,,,,,,false,,,a03Q800000bX89bIAC
3002000009,,true,,,false,,,,,,,false,,,,,,,,,,--,IA00092922,,RR,,,,,,,false,,,a03Q800000bX888IAC
3002000034,,true,,,false,,,,,,,false,,,,,,,,,,--,30006181,,RR,,,,,,,false,,,a03Q800000bX8CwIAK
E-mail forwarded to Mr. Asim & Mr. Abdul Khalid for CAPEX appropriation requested because demo performed from 3200 Plant Lahore (mail attached),,true,,,false,,,,,,,false,,,,,,,,,,--,IA00096724,,RR,,,,,,,false,,,a03Q800000bX888IAC
3002000095,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX7yYIAS
,,true,,,false,,,,,,,false,,,,,,,,,,--,ID00176348,,RR,,,,,,,false,,,a03Q800000bX89bIAC
3002000012,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bX889IAC
3002000040,,true,,,false,,,,,,,false,,,,,,,,,,--,56-71-160517,,RR,,,,,,,false,,,a03Q800000bX8BRIA0
3002000060,,true,,,false,,,,,,,false,,,,,,,,,,--,ID00081331,,RR,,,,,,,false,,,a03Q800000bX89bIAC
AR#300091,,true,,,false,,,,,,,false,,,,,,,,,,--,,,RR,,,,,,,false,,,a03Q800000bWuXmIAK
3002000043,,false,,,false,,,,,,,false,,,,,,,,,,--,5782-2-202302,,Inactive,,,,,,,false,,,a03Q800000bX8BYIA0
3002000043,,false,,,false,,,,,,,false,,,,,,,,,,--,4286-2-202208,,Inactive,,,,,,,false,,,a03Q800000bX8BYIA0
