External_Id__c,Account_Name__c,Active__c,Asset_Level__c,Asset_Name__c,Competitor_Asset__c,Consequence_Of_Failure__c,Delivered_Date__c,Description__c,Digital_Asset_Status__c,InActive_Date__c,Install_Date__c,IsInternal__c,Manufacture_Date__c,Price__c,Product_Code__c,Product_Description__c,Product_Family__c,Purchase_Date__c,Quantity__c,Reminder_Date__c,SAP_Account_No__c,Search__c,Serial_Number__c,Status_Reason__c,Status__c,StockKeepingUnit__c,Usage_End_Date__c,Uuid__c,Agreement_Availability_Status__c,Agreement_Date__c,Approval_Date__c,Invalid__c,Issue_Date__c,Remarks__c
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,,,,,,,,false,,
,,false,,,false,,,,,,,false,,,,,,,,2026-04-30,,--,,,Demo,,,,,,,false,,
,,false,,,false,,,,,,,false,,,,,,,,,,--,,,,,,,,,,false,,
,,true,,,false,,,Swelab Alfa plus standard,,,2022-10-12,false,,,,,,,1,,,--,118193,,Invoiced/Sold,,,,,,,false,,
,,true,,,false,,,,,,2025-09-01,false,,,,,,,1,,,--,22-5006,,RR,,,,,,,false,,
,,true,,,false,,,,,,,false,,,,,,,,,,--,12345,,,,,,,,,false,,
,,true,,,false,,,"Installed in Ibadat University Lab, Rawalpindi.",,,2025-10-04,false,,,,,,,1,,,--,25-47317,,Invoiced/Sold,,,,,,,false,,
,,true,,,false,,,Installed in Khaleej Diagnostic Center.,,,2025-09-29,false,,,,,,,1,,,--,127708,,Invoiced/Sold,,,,,,,false,,
,,true,,,false,,,Installed in Reliance Medical Center. Replaced Medonic Sampler.,,,2025-09-05,false,,,,,,,1,,,--,127706,,Invoiced/Sold,,,,,,,false,,
,,true,,,false,,,"Installed in Al Sarfraz Foundation Lab, Rawalpindi.",,,2025-10-03,false,,,,,,,1,,,--,,,Invoiced/Sold,,,,,,,false,,
,,true,,,false,,,,,,,false,,,,,,,3,,,--,,,Invoiced/Sold,,,,,,,false,,
,,true,,,false,,,"Installed in Arslan Diagnostic Lab, Dheri Wattan, Bhimber, AJK. (c/o Innovative Health Care Solutions)",,,2025-10-15,false,,,,,,,1,,,--,126125,,Invoiced/Sold,,,,,,,false,,
,,true,,,false,,,,,,,false,,,,,,,,,,--,127804,,Invoiced/Sold,,,,,,,false,,
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,
,,false,,,false,,,,,,,false,,,,,,,1,,,--,,,Initial Assessment,,,,,,,false,,
,,true,,,false,,,,,,,false,,,,,,,,2026-04-01,,--,,,RR,,,,,,,false,,
3002000074,,true,,,false,,,,,,,false,,,,,,,,,,--,E0672-41-300621,,RR,,,,,,,false,,
,,true,,,false,,,,,,,false,,,,,,,,,,--,P078240080C,,RR,,,,,,,false,,
3002000033,,true,,,false,,,,,,,false,,,,,,,,,,--,30006238,,RR,,,,,,,false,,
3002000037,,true,,,false,,,,,,,false,,,,,,,,,,--,30006243,,RR,,,,,,,false,,
3002000079,,true,,,false,,,,,,,false,,,,,,,,,,--,P072230210C,,RR,,,,,,,false,,
3002000101,,true,,,false,,,,,,,false,,,,,,,,,,--,1613,,RR,,,,,,,false,,
3002000075,,true,,,false,,,,,,,false,,,,,,,,,,--,IA00093322,,RR,,,,,,,false,,
3002000023,,true,,,false,,,,,,,false,,,,,,,,,,--,30004829,,RR,,,,,,,false,,
Demo # 8300050626,,true,,,false,,,,,,,false,,,,,,,,2026-04-01,,--,TE11042147005,,RR,,,,,,,false,,
