"Id","AG_OG__c","DGroup__c"
"a0GBK000003rmPc2AI","B-HM-REAG","Reagent"
"a0GBK000003rmPd2AI","B-HM-REAG","Reagent"
"a0GBK000003rmPe2AI","ER-URIN-CON","Reagent"
"a0GBK000003rmPf2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmPg2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmPh2AI","B-HM-REAG","Reagent"
"a0GBK000003rmPi2AI","B-HM-REAG","Reagent"
"a0GBK000003rmPj2AI","B-HM-REAG","Reagent"
"a0GBK000003rmPk2AI","E-CC-REF","Reagent"
"a0GBK000003rmPl2AI","E-CC-REF","Reagent"
"a0GBK000003rmPm2AI","E-CC-REF","Reagent"
"a0GBK000003rmPn2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmPo2AI","E-CC-REAG","Reagent"
"a0GBK000003rmPp2AI","E-CC-REAG","Reagent"
"a0GBK000003rmPq2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmPr2AI","E-CC-REAG","Reagent"
"a0GBK000003rmPs2AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmPt2AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmPu2AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmPv2AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmPw2AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmPx2AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmPy2AI","E-CC-REAG","Reagent"
"a0GBK000003rmPz2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmQ02AI","E-CC-REAG","Reagent"
"a0GBK000003rmQ12AI","E-CC-REAG","Reagent"
"a0GBK000003rmQ22AI","ER-COAG-REAG","Reagent"
"a0GBK000003rmQ32AI","ER-COAG-REAG","Reagent"
"a0GBK000003rmQ42AI","ER-COAG-REAG","Reagent"
"a0GBK000003rmQ52AI","ER-COAG-CON","Reagent"
"a0GBK000003rmQ62AI","OR-IMA-CON","Reagent"
"a0GBK000003rmQ72AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQ82AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQ92AI","E-CC-REF","Reagent"
"a0GBK000003rmQA2AY","E-CC-REF","Reagent"
"a0GBK000003rmQB2AY","E-CC-REF","Reagent"
"a0GBK000003rmQC2AY","E-CC-REF","Reagent"
"a0GBK000003rmQD2AY","OR-IMA-CON","Reagent"
"a0GBK000003rmQE2AY","YHLO-IMA-C","Reagent"
"a0GBK000003rmQF2AY","LOC-INST","Instrument/Part"
"a0GBK000003rmQG2AY","YHLO-IMA-C","Reagent"
"a0GBK000003rmQH2AY","YHLO-IMA-C","Reagent"
"a0GBK000003rmQI2AY","YHLO-IMA-C","Reagent"
"a0GBK000003rmQJ2AY","YHLO-IMA-C","Reagent"
"a0GBK000003rmQK2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmQL2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmQM2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmQN2AY","OR-IMA-REA","Reagent"
"a0GBK000003rmQO2AY","OR-IMA-CON","Reagent"
"a0GBK000003rmQP2AY","OR-IMA-CON","Reagent"
"a0GBK000003rmQQ2AY","OR-IMA-CON","Reagent"
"a0GBK000003rmQR2AY","OR-IMA-REA","Reagent"
"a0GBK000003rmQS2AY","E-CC-INST","Instrument/Part"
"a0GBK000003rmQT2AY","E-CC-REF","Reagent"
"a0GBK000003rmQU2AY","E-CC-REF","Reagent"
"a0GBK000003rmQV2AY","E-CC-REF","Reagent"
"a0GBK000003rmQW2AY","E-CC-REF","Reagent"
"a0GBK000003rmQX2AY","E-CC-REF","Reagent"
"a0GBK000003rmQY2AY","A-HM-INST","Instrument/Part"
"a0GBK000003rmQZ2AY","A-HM-REAG","Reagent"
"a0GBK000003rmQa2AI","A-HM-REAG","Reagent"
"a0GBK000003rmQb2AI","A-HM-REAG","Reagent"
"a0GBK000003rmQc2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQd2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQe2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQf2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmQg2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmQh2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQi2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQj2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQk2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQl2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQm2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQn2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQo2AI","YHLO-IMA-R","Reagent"
"a0GBK000003rmQp2AI","YHLO-IMA-R","Reagent"
"a0GBK000003rmQq2AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmQr2AI","E-CC-PART-M","Instrument/Part"
"a0GBK000003rmQs2AI","E-CC-PART-M","Instrument/Part"
"a0GBK000003rmQt2AI","OR-IMA-PAR","Instrument/Part"
"a0GBK000003rmQu2AI","E-CC-REF","Reagent"
"a0GBK000003rmQv2AI","E-CC-REF","Reagent"
"a0GBK000003rmQw2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmQx2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmQy2AI","LOC-INST","Instrument/Part"
"a0GBK000003rmQz2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmR02AI","YHLO-IMA-C","Reagent"
"a0GBK000003rmR12AI","E-CC-REF","Reagent"
"a0GBK000003rmR22AI","ER-ELCT-CON","Reagent"
"a0GBK000003rmR32AI","E-CC-REF","Reagent"
"a0GBK000003rmR42AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmR52AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmR62AI","ER-ELCT-CON","Reagent"
